	TCGA.P7.A5NX.01A	TCGA.P7.A5NY.01A	TCGA.P7.A5NY.05A	TCGA.P8.A5KC.01A	TCGA.P8.A5KC.11A	TCGA.P8.A5KD.01A	TCGA.P8.A5KD.11A	TCGA.P8.A6RX.01A	TCGA.P8.A6RY.01A	TCGA.PR.A5PF.01A	TCGA.PR.A5PG.01A	TCGA.PR.A5PH.01A	TCGA.QR.A6GO.01A	TCGA.QR.A6GR.01A	TCGA.QR.A6GS.01A	TCGA.QR.A6GT.01A	TCGA.QR.A6GU.01A	TCGA.QR.A6GW.01A	TCGA.QR.A6GX.01A	TCGA.QR.A6GY.01A	TCGA.QR.A6GZ.01A	TCGA.QR.A6GZ.05A	TCGA.QR.A6H0.01A	TCGA.QR.A6H1.01A	TCGA.QR.A6H2.01A	TCGA.QR.A6H3.01A	TCGA.QR.A6H4.01A	TCGA.QR.A6H5.01A	TCGA.QR.A6H6.01A	TCGA.QR.A6ZZ.01A	TCGA.QR.A700.01A	TCGA.QR.A702.01A	TCGA.QR.A703.01A	TCGA.QR.A705.01A	TCGA.QR.A706.01A	TCGA.QR.A707.01A	TCGA.QR.A708.01A	TCGA.QR.A70A.01A	TCGA.QR.A70C.01A	TCGA.QR.A70D.01A	TCGA.QR.A70E.01A	TCGA.QR.A70G.01B	TCGA.QR.A70H.01A	TCGA.QR.A70I.01A	TCGA.QR.A70J.01A	TCGA.QR.A70K.01A	TCGA.QR.A70M.01A	TCGA.QR.A70N.01A	TCGA.QR.A70O.01A	TCGA.QR.A70P.01A	TCGA.QR.A70Q.01A	TCGA.QR.A70R.01A	TCGA.QR.A70T.01A	TCGA.QR.A70U.01A	TCGA.QR.A70V.01A	TCGA.QR.A70W.01A	TCGA.QR.A70X.01A	TCGA.QR.A7IN.01A	TCGA.QR.A7IP.01A	TCGA.QT.A5XJ.01A	TCGA.QT.A5XK.01A	TCGA.QT.A5XL.01A	TCGA.QT.A5XM.01A	TCGA.QT.A5XN.01A	TCGA.QT.A5XO.01A	TCGA.QT.A5XP.01A	TCGA.QT.A69Q.01A	TCGA.QT.A7U0.01A	TCGA.RM.A68T.01A	TCGA.RM.A68W.01A	TCGA.RT.A6Y9.01A	TCGA.RT.A6YA.01A	TCGA.RT.A6YC.01A	TCGA.RW.A67V.01A	TCGA.RW.A67W.01A	TCGA.RW.A67X.01A	TCGA.RW.A67Y.01A	TCGA.RW.A680.01A	TCGA.RW.A681.01A	TCGA.RW.A684.01A	TCGA.RW.A685.01A	TCGA.RW.A686.01A	TCGA.RW.A686.06A	TCGA.RW.A688.01A	TCGA.RW.A689.01A	TCGA.RW.A68A.01A	TCGA.RW.A68B.01A	TCGA.RW.A68C.01A	TCGA.RW.A68D.01A	TCGA.RW.A68F.01A	TCGA.RW.A68G.01A	TCGA.RW.A7CZ.01A	TCGA.RW.A7D0.01A	TCGA.RW.A8AZ.01A	TCGA.RX.A8JQ.01A	TCGA.S7.A7WL.01A	TCGA.S7.A7WM.01A	TCGA.S7.A7WN.01A	TCGA.S7.A7WO.01A	TCGA.S7.A7WP.01A	TCGA.S7.A7WQ.01A	TCGA.S7.A7WR.01A	TCGA.S7.A7WT.01A	TCGA.S7.A7WU.01A	TCGA.S7.A7WV.01A	TCGA.S7.A7WW.01A	TCGA.S7.A7WX.01A	TCGA.S7.A7X0.01A	TCGA.S7.A7X1.01A	TCGA.S7.A7X2.01A	TCGA.SA.A6C2.01A	TCGA.SP.A6QC.01A	TCGA.SP.A6QD.01A	TCGA.SP.A6QF.01A	TCGA.SP.A6QG.01A	TCGA.SP.A6QH.01A	TCGA.SP.A6QI.01A	TCGA.SP.A6QJ.01A	TCGA.SP.A6QK.01A	TCGA.SQ.A6I4.01A	TCGA.SQ.A6I4.11A	TCGA.SQ.A6I6.01A	TCGA.SR.A6MP.01A	TCGA.SR.A6MQ.01A	TCGA.SR.A6MR.01A	TCGA.SR.A6MS.01A	TCGA.SR.A6MT.01A	TCGA.SR.A6MU.01A	TCGA.SR.A6MV.01A	TCGA.SR.A6MX.01A	TCGA.SR.A6MX.05A	TCGA.SR.A6MX.06A	TCGA.SR.A6MY.01A	TCGA.SR.A6MZ.01A	TCGA.SR.A6N0.01A	TCGA.TT.A6YJ.01A	TCGA.TT.A6YK.01A	TCGA.TT.A6YN.01A	TCGA.TT.A6YO.01A	TCGA.TT.A6YP.01A	TCGA.W2.A7H5.01B	TCGA.W2.A7H7.01A	TCGA.W2.A7HA.01B	TCGA.W2.A7HB.01A	TCGA.W2.A7HC.01A	TCGA.W2.A7HD.01A	TCGA.W2.A7HE.01A	TCGA.W2.A7HF.01A	TCGA.W2.A7HH.01A	TCGA.W2.A7UY.01A	TCGA.WB.A80K.01A	TCGA.WB.A80L.01A	TCGA.WB.A80M.01A	TCGA.WB.A80N.01A	TCGA.WB.A80O.01A	TCGA.WB.A80P.01A	TCGA.WB.A80Q.01A	TCGA.WB.A80V.01A	TCGA.WB.A80Y.01A	TCGA.WB.A814.01A	TCGA.WB.A815.01A	TCGA.WB.A816.01A	TCGA.WB.A817.01A	TCGA.WB.A818.01A	TCGA.WB.A819.01A	TCGA.WB.A81A.01A	TCGA.WB.A81D.01A	TCGA.WB.A81E.01A	TCGA.WB.A81F.01A	TCGA.WB.A81G.01A	TCGA.WB.A81H.01A	TCGA.WB.A81I.01A	TCGA.WB.A81J.01A	TCGA.WB.A81K.01A	TCGA.WB.A81M.01A	TCGA.WB.A81N.01A	TCGA.WB.A81P.01A	TCGA.WB.A81Q.01A	TCGA.WB.A81R.01A	TCGA.WB.A81S.01A	TCGA.WB.A81T.01A	TCGA.WB.A81V.01A	TCGA.WB.A81W.01A	TCGA.WB.A820.01A	TCGA.WB.A821.01A	TCGA.WB.A822.01A	TCGA.XG.A823.01A
hsa-let-7a-1	97615.616	52299.387	72768.923	56532.94	93087.607	24864.323	86796.031	84378.415	44338.665	46155.188	78840.874	60030.011	58916.849	27497.6	41707.087	59924.143	40318.706	54111.482	47790.088	37863.943	51918.726	61088.859	57472.192	82492.65	61976.721	76174.6	51289.198	64632.213	48734.78	30359.201	30083.593	58595.869	34193.523	54068.668	46543.933	61110.132	28292.86	25490.031	64570.456	40916.592	39785.84	58347.011	37013.044	54902.586	82716.696	26503.831	40818.873	38829.329	83076.034	28237.789	43404.329	65036.146	41402.791	77485.431	66542.058	58566.277	57334.45	51016.374	55890.565	39865.398	40471.069	36736.087	45093.709	38537.028	61711.418	30460.118	52055.969	34401.994	64144.641	39899.066	49530.403	56145.481	77353.255	52674.838	65898.167	40375.71	36176.91	27219.173	39665.467	44727.81	69878.565	62873.945	46672.036	65707.932	52401.984	63920.881	55093.946	76204.538	53736.827	66995.797	46117.776	66025.789	27659.194	42132.407	32936.914	24395.112	31930.532	41000.417	45720.802	39879.451	50651.125	63285.592	64756.882	68275.952	57623.32	39703.211	37519.441	55066.215	70399.728	52604.438	59094.708	58811.809	38926.407	33054.999	53888.614	83396.573	81527.669	42563.621	57715.909	43125.011	159067.367	44424.589	34495.08	47732.966	67443.852	51950.614	49029.658	35656.66	42418.306	17536.506	30800.766	64295.333	50602.001	84621.038	56483.421	87216.135	40846.424	67355.411	60205.214	39590.091	40336.718	36632.226	50663.362	88861.278	34521.369	69165.773	41941.272	48342.731	39414.718	65778.119	50691.87	83828.724	58432.74	73860.416	39056.364	52100.187	57750.472	59382.797	26195.641	56534.851	39563.375	59990.461	35794.547	42902.229	82212.176	82742.29	53832.972	46581.464	32540.611	49372.346	25688.052	52289.094	59409.463	52756.632	86191.863	26156.581	92014.668	28346.795	31745.712	74466.563	55087.134	42042.829	62271.589	39514.917	54853.519	29596.654	63689.661
hsa-let-7a-2	97924.035	51865.733	72578.302	56585.464	92472.091	24561.885	86803.196	83852.208	44432.378	45990.001	78059.934	59745.9	58806.74	27601.959	41206.966	59953.16	40052.377	54253.109	48331.955	37684.31	51766.569	60482.223	57000.26	81267.581	62138.273	75532.642	51120.467	64450.567	48587.232	30219.991	29792.241	58601.297	34254.254	53843.494	46293.672	60860.937	28173.031	25369.493	64668.662	40789.18	39469.683	57602.687	37303.575	55008.65	82518.016	26328.55	40959.961	38354.512	82715.648	28225.599	43185.884	64909.937	41420.897	77764.688	67352.25	58291.216	57091.318	50784.647	55697.814	39606.392	40511.602	36661.697	44912.387	38996.138	61137.519	30320.564	52150.868	34009.534	64260.537	39871.023	49135.451	56029.504	77987.31	53290.089	66068.789	40268.342	35896.682	26939.575	39831.241	44301.588	69673.83	62424.039	46493.802	65465.888	52192.028	64185.493	54582.776	76787.329	53039.511	66497.787	45919.403	66223.133	27564.693	41815.126	32139.848	24546.154	32020.757	41153.126	45597.012	39633.882	50193.799	62675.947	64242.566	68505.355	57435.26	39582.529	37543.114	54677.036	70110.683	52091.015	59125.824	58723.588	38764.034	33081.36	54095.308	83327.771	81530.289	42949.436	57065.686	43038.777	157985.015	43911.023	34606.631	47790.877	67226.741	51793.201	49003.138	35465.372	42639.038	17452.138	30442.588	63314.041	50597.484	84279.881	55671.712	86986.045	40366.005	67124.913	59734.435	39258.987	40057.588	36348.07	50099.78	89064.033	34437.678	69280.758	42532.669	48089.956	39439.372	65965.521	50350.255	82648.524	58250.245	73745.95	39046.826	52439.598	57623.126	59780.756	26025.113	56301.736	39596.039	60417.437	35426.155	42953.232	81878.851	81773.702	53150.836	46678.213	32649.224	49233.857	25476.949	53459.764	59356.959	53061.8	86310.982	26165.031	92068.838	28159.157	31637.992	74252.7	54107.784	41568.019	61895.71	39037.315	54182.489	29476.195	63347.301
hsa-let-7a-3	99045.867	52317.224	72975.653	57024.755	93036.461	24851.674	86765.578	86277.525	44262.591	45864.011	78282.086	60266.989	59172.021	28068.315	41941.286	60169.243	40555.346	54060.054	48497.086	38470.202	52536.339	61179.889	57416.779	82419.146	62832.428	76350.687	51305.567	65165.151	48768.735	30836.292	30082.075	58969.794	34934.703	54068.668	46543.933	61246.359	28756.786	25540.312	64680.388	40921.588	40262.907	57919.451	36842.393	55604.945	82828.483	26536.191	41257.813	38912.702	83352.012	28194.717	43742.706	65430.164	41667.653	78212.239	66915.792	58362.273	57505.258	51793.212	56117.278	40347.617	40927.892	37452.575	45022.167	38832.271	61972.505	30717.557	52226.628	34461.457	64388.139	40761.769	49833.103	56084.856	78078.5	53570.393	67006.113	41549.659	36197.241	27262.378	40709.76	44893.342	69720.685	62890.517	46984.437	66231.897	52686.148	64685.888	55424.801	76570.342	54339.983	67960.167	46462.237	66586.173	28309.52	42178.779	32600.304	24595.887	32154.382	41189.725	46173.762	40211.947	51110.999	62822.662	64785.683	68645.646	57420.859	40583.541	37053.872	55619.774	70578.613	52835.253	59427.35	58722.771	39404.141	32927.989	54306.923	84074.77	81707.153	42935.508	57742.527	43374.688	159287.329	44139.65	35132.791	47898.712	68259.414	53176.702	49887.113	35639.27	42542.687	17411.345	30823.049	63604.532	50617.055	84478.5	55982.558	87433.077	41088.653	67787.595	60726.864	39912.155	40263.975	37003.154	50381.079	89152.508	34481.915	69452.062	42709.754	47920.309	39074.746	66657.183	50957.464	84461.467	58931.233	73760.486	39148.071	52729.279	57928.318	59695.479	26418.638	57222.168	39941.195	60592.518	35911	42704.219	82096.332	83248.042	53426.676	47187.758	33110.602	49568.808	25822.764	53554.486	59264.874	53360.299	87578.549	26431.209	92854.3	28462.66	31613.269	74571.618	55136.887	41953.388	62194.52	39525.48	55338.205	29808.46	63937.83
hsa-let-7b	58928.356	38477.072	49431.266	50801.147	85685.537	23091.093	83233.046	79612.54	13579.653	19133.647	26793.195	43424.545	22704.222	43300.43	31409.732	30726.388	13319.939	15421.428	14838.055	28277.133	46264.541	58062.629	60912.396	44428.004	44976.195	40185.448	26303.154	41848.984	17934.221	39531.517	12648.007	37394.317	27795.217	19366.092	29182.454	20419.052	13506.059	28515.194	35060.281	14474.117	16150.037	44074.181	15089.261	24387.137	84841.642	8912.363	15262.334	50545.233	66068.879	6969.444	23331.942	30764.229	42675.888	30379.808	27861.906	32801.058	39155.741	29574.998	21288.934	81849.046	25560.214	28463.196	24603.073	19661.23	27292.238	26920.119	15839.446	15599.596	26189.454	19163.95	52567.975	37016.199	53160.861	34470.274	36783.145	39228.38	7396.925	10028.506	24551.407	19704.61	62000.878	24439.794	30735.697	59438.905	17712.276	33085.815	64556.395	58039.112	62852.563	20957.363	34943.557	19148.959	32563.061	30590.719	19934.581	8904.105	25156.801	15127.005	62753.215	32162.495	29494.366	22190.555	19470.761	44539.078	35782.995	32480.625	28870.907	34980.828	52902.377	27891.465	15922.366	47526.006	10739.161	43379.969	19481.496	100766.272	42414.563	19952.35	25638.207	31812.316	90034.245	36154.599	24494.814	16539.693	30660.092	22060.923	17479.495	20937.297	26148.043	17487.369	25830.025	21195.213	29728.6	45512.958	41813.225	22023.989	25296.039	56878.375	57813.395	33140.909	30394.64	13826.36	35709.26	22530.742	22680.279	27162.253	30434.096	15638.1	18915.172	31869.444	35145.965	38876.271	33811.818	44910.563	39463.545	25367.542	26369.477	24889.83	18772.777	37542.508	26177.418	31675.799	35653.461	21767.631	61962.403	57320.021	21070.297	24203.398	30296.555	26935.421	27175.632	46362.884	23021.288	26749.771	14654.317	12009.001	66799.288	12255.995	18195.024	25662.211	28021.458	23251.368	20094.675	37818.036	18010.623	22402.27	31299.142
hsa-let-7c	3497.674	6143.623	4953.463	8344.62	27638.277	1496.091	30585.422	39574.068	2137.773	1756.391	4928.236	5327.418	3787.387	15299.514	1864.822	11995.077	3644.777	2461.447	5436.467	8359.322	7052.482	4360.413	7452.083	2467.639	1984.489	7114.223	2520.892	5886.317	2954.053	4678.415	10476.526	1673.616	5510.197	2994.479	4209.639	1863.98	1010.852	7141.369	4346.716	3262.735	3371.201	8441.822	2561.183	2663.285	5135.409	498.877	1642.109	8231.533	6620.54	867.117	5386.189	9725.793	3468.554	3140.252	1302.406	3245.723	7380.893	2584.309	4113.866	22638.267	4577	5000.873	3886.708	2329.456	5615.839	3363.173	6066.391	1414.319	3905.912	2630.91	2895.352	2582.26	3798.629	3778.535	5924.721	4937.155	960.468	1472.057	627.754	1314.654	17690.673	4699.158	6094.257	1027.527	6702.285	2606.998	3364.794	9007.824	3124.151	2181.003	5456.783	3529.865	3440.633	2015.951	4699.83	5584.867	3313.201	3865.678	21553.57	4851.077	3370.712	3281.516	2055.617	2943.702	8503.343	8282.861	2039.259	2990.817	7592.999	2404.98	5648.988	10480.374	2671.181	2270.607	4665.372	8394.568	4345.609	2356.676	8695.316	2020.482	40616.139	1917.989	3864.955	3640.43	2982.505	2463.73	1613.254	4562.644	3384.565	2685.871	4549.016	3873.213	2196.487	8349.008	11522.754	1287.408	5682.273	2402.03	18739.616	6080.787	2256.718	4243.262	4607.996	4744.478	2386.391	3060.007	8604.766	2924.722	2787.253	1772.922	3783.751	11989.856	3153.859	3495.749	4875.167	13877.304	1568.775	4154.885	1487.196	5940.715	11123.388	12233.517	13105.371	3994.708	4794.417	2689.493	3681.331	2450.171	2271.883	6111.256	8527.911	4638.96	4231.07	4054.739	1179.365	2543.48	3501.219	8214.07	1358.866	4179.693	6250.558	6044.45	2504.06	3525.046	7948.078	4734.019	9937.462
hsa-let-7d	3096.391	3076.828	4541.346	3406.416	3225.73	3997.243	3147.393	1417.932	6761.712	5517.419	3438.59	6666.801	1551.133	3558.001	4485.562	3705.515	4826.229	4009.049	2087.374	3139.29	928.347	4454.917	2226.666	2852.661	4139.911	2395.21	3748.599	1685.545	2734.892	1982.923	1879.371	5115.536	1652.798	2995.6	2289.426	3254.489	5313.706	8813.061	3938.501	2919.64	7516.362	3893.494	5961.52	2771.854	2195.729	1740.675	1656.479	4095.432	4726.126	7465.985	3192.093	2104.767	5130.149	3288.202	2112.598	4899.529	3213.801	3223.213	1951.379	5242.587	1741.846	3123.798	3278.601	2924.181	3231.57	2688.805	5386.145	1813.183	2127.677	2703.971	3460.392	4414.179	4015.205	9211.57	4297.255	1516.463	1180.255	3070.026	3774.097	2110.323	3383.718	2462.516	2876.238	6547.238	1878.739	2731.582	5283.752	3991.209	6061.76	4073.44	4308.068	2268.534	4331.783	3050.774	1835.474	1317.012	2758.146	1995.311	4131.499	3804.149	1587.266	4641.144	2266.281	4665.127	2565.065	4883.3	3331.128	2441.701	3503.917	2086.343	4450.291	3178.421	4344.658	3852.243	2103.847	4052.799	3311.939	2022.395	1713.967	2026.498	4622.691	6223.61	1803.517	2166.685	6307.378	2236.997	4309.377	4026.821	2335.21	1736.499	1532.569	6323.492	2408.759	2806.37	3548.911	1934.947	2484.186	3104.139	2415.867	2779.917	3187.149	1687.769	2248.426	4219.157	2415.085	2895.743	4431.577	3094.369	5451.234	1626.206	5518.772	8029.735	3458.834	4748.514	2685.927	2607.123	3611.806	3719.025	5174.852	1935.219	5779.458	3289.168	5213.483	3942.205	3011.947	5760.193	3034.242	3670.822	2928.045	5309.305	2541.452	4935.271	3843.343	3096.71	1310.305	2002.674	3341.352	2490.572	4238.177	2894.018	3099.093	3541.204	2308.008	2273.322	811.028	6331.098	4292.753
hsa-let-7e	44907.156	34039.082	39347.142	20729.763	22878.165	14418.134	19398.473	40587.633	32634.386	22821.881	63925.328	32109.837	44388.629	16863.274	20228.899	46141.75	51762.118	52508.496	126011.736	40863.162	37766.252	39214.528	13226.085	54748.336	31286.972	38694.941	36613.375	40251.807	49761.445	19527.685	17308.119	46844.972	29643.921	40517.893	40072.675	48690.245	12733.766	22765.18	35716.942	50759.758	45188.827	28684.865	31765.157	47685.243	35621.286	22077.313	43436.84	31684.692	47869	41235.607	37491.301	31459.918	23942.592	53275.164	57450.48	46905.971	33609.876	43192.826	87866.188	37457.556	30494.347	24275.014	31547.588	43396.536	24572.989	23267.436	62214.204	26866.58	26518.995	23500.34	29861.616	58798.03	28437	34250.686	41356.019	19010.356	55929.152	57128.168	36662.177	31366.164	33638.557	47940.493	32970.487	34518.597	35422.742	44050.24	30994.481	39223.686	25403.607	65020.513	32119.439	79397.758	13248.368	28061.018	25704.575	28255.89	26753.441	37268.517	13906.709	28207.311	52806.547	54127.238	58847.599	43461.306	19680.181	21279.852	23374.263	37480.283	55681.659	46141.616	51854.373	24834.321	44773.722	21862.526	40960.416	23829.277	59705.294	35798.625	38051.395	18343.772	40211.13	33522.573	34791.689	27643.704	56847.123	60891.382	69296.988	27414.99	41853.336	18425.616	39172.539	84171.528	49640.003	51541.629	31918.76	84245.783	19577.432	36984.288	12609.308	30393.763	50283.87	76387.302	32955.282	85758.197	21391.436	51467.483	25826.548	49993.4	41341.66	49073.446	27965.307	104811.837	32113.021	54329.463	19028.193	59283.762	40334.761	52800.676	22701.468	38528.619	30530.521	28078.683	17977.335	40143.586	48961.631	60726.487	49771.306	39713.084	23996.143	52351.483	14656.474	34330.733	38137.793	47821.407	91594.938	22385.724	37502.015	25279.977	28152.091	49484.708	34643.855	41416.742	54979.799	19622.402	90207.598	38833.813	54410.974
hsa-let-7f-1	52785.057	29033.662	71341.95	32993.624	44872.738	18567.171	39085.353	33323.161	51507.204	56144.777	70535.379	49165.692	49250.885	10570.188	26451.047	44595.213	30046.269	84962.251	32004.754	34850.823	18507.229	42636.844	17741.295	57056.716	43860.962	53025.99	37321.668	46026.846	27336.569	9883.469	36457.672	61198.267	13456.166	37616.396	24260.652	54199.119	33172.873	14983.237	62179.799	29865.931	38369.369	46530.164	39426.141	35111.264	36643.486	22762.257	24341.613	28210.489	87511.502	23880.261	26450.149	37231.673	31005.406	59273.636	37157.339	53607.152	60038.905	19025.898	49031.369	37609.836	24824.038	18828.363	46334.594	32370.821	58091.911	24135.1	57022.642	17360.634	58033.788	16848.896	34742.296	70614.571	63526.587	49463.994	77276.213	20201.165	34496.64	18612.73	30439.335	40185.698	45541.667	58248.442	32515.107	41153.935	38115.963	44531.073	31591.674	60911.784	35166.913	42849.31	41298.399	45993.433	10185.737	36462.849	15214.11	18754.985	22805.239	26427.455	17500.846	37093.437	30713.479	80931.599	59992.26	53101.645	51607.954	22329.352	25350.395	29437.243	51472.31	33039.203	57888.603	41815.305	41789.996	21722.336	33306.597	37996.053	65598.134	29876.294	42908.11	26852.86	91748.552	32053.954	28896.246	39640.348	63878.208	16913.952	46013.094	31003.806	32585.198	8534.155	13145.269	40953.322	40187.13	86975.257	34208.694	85088.351	17895.29	40720.779	32852.829	32874.218	43528.941	28664.428	27424.704	122009.034	21973.687	83971.841	33215.109	48502.199	32080.661	33616.475	39963.223	95683.733	29652.399	72647.624	19711.964	23262.698	66945.757	82254.404	23016.287	25044.065	38916.615	38990.443	19322.136	33424.737	67356.805	57699.546	58893.504	37162.939	18325.861	26713.999	11561.39	33368.938	66440.246	38562.127	51256.466	21344.953	63787.579	12383.139	37070.805	62455.262	49973.041	32581.95	53005.756	22841.119	24247.818	15737.903	55647.305
hsa-let-7f-2	54241.066	29441.677	72986.392	33511.223	46393.011	18874.209	39843.092	33898.81	52502.774	57633.323	71576.632	50708.011	50015.529	10683.244	26750.039	45697.237	30841.763	86245.59	32444.774	35076.433	18737.711	44227.439	17806.867	58199.53	44966.814	53344.196	38097.327	47002.171	27889.721	10221.349	36916.703	61903.296	13639.012	38020.813	24924.926	54953.35	33898.443	14912.291	63581.8	30274.814	39551.272	46618.233	39969.123	35903.819	36893.422	23569.897	24939.931	29081.836	89020.574	24055.797	26819.579	37947.371	31967.6	60100.31	38023.286	54475.887	60565.947	19343.695	49973.097	37977.52	25065.048	19194.717	46712.04	33208.521	59048.821	24335.33	57919.801	17423.757	58209.973	17223.792	35650.397	72891.95	63530.862	50607.471	77613.081	20645.722	35413.151	18908.993	31245.485	40620.717	45637.413	59464.969	33112.487	41537.866	38318.679	44938.803	31631.376	62931.871	35943.287	44110.624	42157.245	46902.894	10415.383	37110.833	15628.521	19398.755	23262.075	27071.104	18003.041	37929.567	31136.41	82564.611	60864.54	54676.758	53012.471	22878.885	25879.091	29912.611	52659.821	33647.204	59286.589	42669.745	42653.483	22210.007	33841.171	38478.982	66272.837	30774.672	42627.677	27404.356	93986.577	32659.872	29318.593	40058.708	65048.663	16974.606	47312.537	31787.433	33643.313	8531.373	13141.968	41022.992	40918.79	88219.547	35198.725	88080.616	18307.079	40967.958	33412.4	34156.822	43781.004	28970.515	27934.19	124826.414	22577.458	85734.161	33954.633	49637.141	32392.086	34510.334	40714.777	98621.553	30872.299	73928.551	19943.8	23828.382	69200.665	84335.794	24006.658	25406.687	39724.52	40368.946	19315.417	33796.756	68284.651	60093.665	59755.423	38017.556	18617.589	27526.418	11836.563	33747.827	67499.225	39311.708	52211.233	22082.224	64696.575	12776.873	37519.346	63079.339	51423.736	33481.882	53846.752	23438.686	24808.779	16169.546	56885.328
hsa-let-7g	2895.749	3749.048	5502.505	3569.717	4694.856	4213.435	4847.379	2361.748	5374.751	3465.185	5089.058	5654.735	4801.959	2998.7	4326.954	3719.097	4048.2	3221.798	3602.228	2924.373	1294.293	2706.583	3364.474	5796.327	4516.172	3860.759	4021.843	2486.861	3808.475	1153.795	2084.228	5768.096	1559.416	2843.243	2799.217	4348.456	2302.038	2998.3	5053.213	3036.225	3374.601	3728.72	4508.867	3409.907	2947.49	2734.383	3576.844	2062.967	6224.922	2534.713	3506.912	3841.681	4594.735	6759.493	4656.428	5739.612	4400.222	2782.932	4778.399	2811.969	1911.648	2469.954	5421.162	2654.365	5258.691	3745.43	6759.397	2477.346	5585.811	3549.7	2260.162	6645.871	5350.282	3854.429	5416.138	1769.354	1619.279	3038.548	3376.071	4783.612	5985.168	4248.638	3256.211	7418.967	3125.802	3374.065	4494.663	3602.361	3813.472	5377.573	4664.062	4163.788	3630.65	3547.44	2924.691	1914.733	3717.501	3922.47	5114.788	2417.661	2733.767	5487.722	4129.338	6090.917	4521.054	4467.379	4612.852	3082.336	3096.626	4348.33	7353.685	4809.699	6162.675	4810.81	2578.135	4645.156	7590.733	4615.853	4245.466	3838.415	8054.795	3739.121	4260.22	4982.377	6030.421	4381.568	3858.55	3269.279	3390.697	2068.408	2158.967	3785.829	4995.164	8046.406	4086.802	7156.892	2632.214	5252.924	4279.562	2749.406	3505.187	3559.573	2543.495	8080.728	3573.608	6650.352	4614.23	3272.499	5058.06	2913.362	4671.951	6454.215	6117.874	6604.495	3767.342	3639.031	7631.998	4056.974	4146.769	2054.551	3094.427	4569.403	4740.955	5068.763	4470.928	8784.61	6074.975	2150.249	3354.415	5482.417	3262.653	5012.991	6638.209	3688.704	5281.228	3114.566	5656.78	4146.511	4737.046	8335.623	5288.229	5042.931	3188.214	2408.379	1680.953	6182.533	5133.707
hsa-let-7i	1004.565	1373.425	2188.115	1452.525	1874.768	2130.866	1551.305	1406.454	1482.88	2576.724	1594.59	1637.896	1175.366	1867.054	1843.899	2772.654	1205.029	3073.842	807.856	1876.517	708.779	3379.928	1894.19	1851.604	2270.072	1629.852	1139.564	1454.806	1153.223	969.754	1560.705	2345.475	790.809	1116.908	1041.21	1279.202	1633.084	1737.816	1876.908	1525.607	2370.606	1282.68	1887.039	1016.374	2369.025	930.337	1081.675	2467.63	3084.203	1173.493	1575.166	1206.682	1656.422	1652.423	1372.971	3245.723	1682.687	968.84	1105.108	2048.618	1302.55	1565.535	2220.271	1853.394	1351.003	1691.988	1882.838	1076.749	1785.844	1378.553	1976.68	2570.838	2422.232	2358.801	2581.197	1680.62	400.012	1327.012	1847.078	1495.378	1984.191	1473.704	1659.933	1929.859	930.32	1589.734	2200.185	1971.122	3914.739	1001.604	1997.566	984.862	1873.753	1602.266	1333.735	639.165	1620.625	1217.884	1866.701	1711.921	1229.303	2408.51	1460.657	1483.592	2639.611	1494.514	1816.057	1122.223	2189.064	1423.172	1466.144	2167.959	1428.509	1814.089	887.676	2111.256	1620.597	1624.045	1382.201	2219.021	1853.965	1870.687	1661.015	1174.203	1881.636	1241.974	1785.629	1818.319	1186.875	1368.432	1284.981	1398.135	1749.361	2728.09	1279.44	1062.796	1046.292	1985.011	1199.609	2045.386	2706.708	1273.932	1876.639	2248.743	1569.805	3199.631	1541.418	1155.299	1292.413	1554.697	2745.433	2365.009	1484.457	2147.596	1441.641	1016.989	1809.196	2929.423	2151.269	1059.19	2129.733	1588.876	1593.382	1497.078	2578.078	2275.466	1512.902	2083.33	1483.77	1665.901	1442.401	2173.754	1803.738	1541.685	691.07	959.791	1576.209	1180.177	2087.302	1597.088	2348.869	1558.042	1504.87	2246.915	531.996	1825.95	1664.986
